   3198 Wallonia          -          Sqw 2005-05-10 a  
   3199 Nefertiti         -          K   2005-03-03 a  
   3200 Phaethon          -          B   2004-12-10 a  
   3248 Farinella         -          D   2005-04-18 a  
   3255 Tholen            -          S   2002-09-16 a  
   3317 Paris             -          D   2006-05-01 a  
   3363 Bowen             -          Sr  2002-04-15 a  
   3395 Jitka             -          S   2001-02-19 a  
   3402 Wisdom            -          S   2003-09-30 e  
   3430 Bradfield         -          S   2002-06-17 a  
   3491 Fridolin          -          S   2002-06-17 a  
   3511 Tsvetaeva         -          Srw 2002-04-15 a  
   3628 Boznemcova        -          O   2006-04-30 a  
   3635 Kreutz            -          Srw 2005-11-12 a  
   3701 Purkyne           -          S   2001-08-14 a  
   3734 Waland            -          L   2001-08-24 a  
   3753 Cruithne          -          Q   2005-10-08 a  
   3788 Steyaert          -          S   2003-03-17 a  
   3844 Lujiaxi           -          L   2003-04-27 a  
   3858 Dorchester        -          Srw 2004-02-20 a  
   3873 Roddy             -          Sw  2002-10-28 a  
   3903 Kliment  -          S   2002-09-16 a
   3908 Nyx               -          V   2004-09-15 a  
   3910 Liszt             -          S   2002-08-17 a  
   3920 Aubignan          -          Sqw 2002-09-16 a  
   3949 Mach              -          Sq  2001-08-24 a  
   4038 Kristina          -          Vw  2002-10-28 d  
   4055 Magellan          -          V   2005-04-11 d  
   4179 Toutatis          -          Sq  2004-09-15 a  
   4188 Kitezh            -          V   2001-08-14 a  
   4197 -                 1982     Sq  2003-09-30 a
   4352 Kyoto             -          S   2002-06-17 a  
   4407 Taihaku           -          Sqw 2001-08-24 a  
   4417 Lecar             -          Sw  2001-08-24 a  
   4451 Grieve            -          Svw 2002-01-14 d  
   4558 Janesick          -          Sr  2004-06-15 a  
   4570 Runcorn           -          Sw  2001-06-21 a  
   4688 -                 1980     Q   2001-01-29 d
   4713 Steel             -          Sw  2002-04-14 a  
   4737 Kiladze           -          L   2002-06-17 a  
   4995 Griffin           -          S   2002-10-28 a  
   5013 Suzhousanzhong    -          Sw  2002-01-14 a  
   5111 Jacliff           -          V   2005-09-05 a  
   5143 Heracles          -          Q   2006-10-25 a  
   5230 Asahina           -          S   2005-09-05 a  
   5261 Eureka            -          Sa  2005-05-19 a  
   5379 Abehiroshi        -          Sr  2006-06-03 a  
   5401 Minamioda         -          Sw  2003-03-16 a  
