"Spkid","Surname","Name","Spec.type","OCC","Diameter (km)","Launch date (one-way)","Min total dv (km/s)","TOF (days)","Launch date (round-trip)","Min total dv (km/s)","Mission duration (days)","Stay (days)"
"2036284","2000 DM8","","Sq","0","3,53 ÷ 7.89","2033-07-18","20.55","390","2031-02-19","33.50","358","13"
"2037336","2001 RM","","S","0","2,57 ÷ 5.74","2043-10-26","18.00","430","2028-08-13","35.22","443","38"
"2040267","1999 GJ4","","Sq","0","1,641","2033-11-07","20.19","170","2033-11-25","27.69","443","8"
"2048603","1995 BC2","","X","0","0,844","2035-12-31","7.85","430","2047-01-26","17.48","413","8"
"2053319","1999 JM8","","X","0","7","2029-09-09","13.74","440","2025-11-17","23.99","443","23"
"2053435","1999 VM40","","S","0","3,92 ÷ 8.77","2048-06-25","12.31","150","2041-08-15","22.51","448","28"
"2054686","2001 DU8","","S","0","1,349","2033-09-28","16.74","200","2033-01-29","28.40","398","8"
"2054690","2001 EB","","Sl","0","1,30 ÷ 2.92","2041-04-03","16.85","360","2028-01-16","29.36","448","73"
"2055532","2001 WG2","","Sk","0","1,306","2034-05-26","21.28","440","2049-04-25","33.06","413","8"
"2065679","1989 UQ","","B","0","0,918","2030-02-24","4.65","290","2031-09-17","8.14","448","13"
"2065706","1992 NA","","C","0","1,72 ÷ 3.85","2028-12-19","9.79","290","2028-12-21","18.59","443","8"
"2065803","1996 GT","Didymos","Xk","0","0,78","2048-11-24","6.33","440","2042-12-28","12.61","383","8"
"2066391","1999 KW4","Moshup","S","0","1,317","2035-10-12","20.58","230","2036-03-14","21.33","438","48"
"2066959","1999 XO35","","Sq","0","1,63 ÷ 3.64","2046-11-27","17.25","440","2043-01-27","34.49","443","8"
"2085490","1997 SE5","","T","0","3,96 ÷ 8.85","2039-11-24","11.28","410","2033-03-20","25.51","413","8"
"2085774","1998 UT18","","C","0","0,939","2026-01-12","9.97","410","2028-05-15","18.04","398","38"
"2085818","1998 XM4","","S","0","2,028","2034-05-02","25.10","370","2026-03-17","38.30","428","68"
"2085938","1999 DJ4","","Sq","0","0,65 ÷ 1.46","2046-02-20","10.13","380","2046-08-09","18.66","448","28"
"2085953","1999 FK21","","S","0","0,59","2046-08-07","13.63","280","2025-03-22","17.78","368","8"
"2085989","1999 JD6","","K","0","1,462","2041-09-26","16.06","390","2049-07-04","19.78","398","53"
"2085990","1999 JV6","","Xk","0","0,451","2025-08-05","6.93","350","2025-11-07","16.16","443","8"
"2086039","1999 NC43","","Q","0","2,22","2031-08-06","11.60","410","2046-04-01","18.68","448","28"
"2086326","1999 WK13","","S","0","1,348","2032-12-22","17.22","440","2029-06-19","30.71","353","8"
"2086450","2000 CK33","","Xk","0","0,74 ÷ 1.66","2039-09-05","12.09","160","2039-10-05","15.82","448","88"
"2086819","2000 GK137","","Sq","0","0,802","2031-04-08","10.24","130","2031-04-20","17.61","323","8"
"2086829","2000 GR146","","S","0","1,823","2030-01-31","10.74","200","2030-02-04","20.39","448","13"
"2089355","2001 VS78","","S","0","2,038","2033-02-08","12.73","190","2032-06-03","25.22","398","8"
"2096590","1998 XB","","S","0","0,882","2048-08-12","9.20","130","2048-08-08","13.79","443","38"
"2098943","2001 CC21","","L","0","0,71 ÷ 1.60","2047-06-15","4.12","200","2047-07-05","6.46","448","28"
"2099907","1989 VA","","Sq","0","1,4","2048-05-16","15.29","200","2029-11-06","20.61","368","8"
"2099942","2004 MN4","Apophis","Sq","0","0,34","2037-06-03","3.90","340","2028-05-05","5.35","343","28"
"2100756","1998 FM5","","S","0","1,93 ÷ 4.31","2038-10-20","11.57","120","2038-10-20","20.00","338","8"
"2100926","1998 MQ","","S","0","1,174","2039-10-23","12.87","440","2029-08-08","24.39","448","28"
"2101955","1999 RQ36","Bennu","B","0","0,492","2036-11-23","5.27","130","2036-03-14","7.09","368","8"
"2136564","1977 VA","","X","0","0,4","2033-05-15","7.11","190","2033-05-29","14.74","428","8"
"2136745","1995 WL8","","Sq","0","0,85 ÷ 1.91","2035-08-01","13.45","130","2035-08-17","25.04","443","23"
"2136793","1997 AQ18","","C","0","0,75 ÷ 1.68","2034-09-15","11.61","160","2034-10-01","16.56","448","43"
"2136795","1997 BQ","","S","0","0,80 ÷ 1.80","2026-08-08","10.40","250","2026-12-12","16.86","338","8"
"2136993","1998 ST49","","Q","0","0,96 ÷ 2.14","2040-11-18","13.47","240","2040-02-02","24.46","433","28"
"2137052","1998 VO33","Tjelvar","V","0","1,39 ÷ 3.11","2037-08-06","15.70","220","2044-08-29","22.92","448","13"
"2137062","1998 WM","","Sq","0","1,265","2041-05-13","10.63","270","2032-11-10","17.74","368","53"
"2137064","1998 WP5","","Sl","0","0,57 ÷ 1.28","2038-04-03","10.57","300","2027-04-11","18.05","383","8"
"2137126","1999 CF9","","Q","0","0,86 ÷ 1.93","2046-06-20","10.42","230","2045-09-23","16.76","338","8"
"2137158","1999 FB","","Q","0","0,91 ÷ 2.03","2044-10-20","9.89","350","2039-12-14","16.82","448","13"
"2137170","1999 HF1","","X","0","4,20 ÷ 9.40","2036-08-11","18.27","200","2036-08-11","22.87","378","18"
"2137799","1999 YB","","Sq","0","0,66 ÷ 1.48","2037-10-09","5.15","240","2034-10-31","10.60","443","8"
"2137805","1999 YK5","","X","0","2,243","2042-04-06","16.35","340","2046-03-22","19.88","338","8"
"2137925","2000 BJ19","","Q","0","2,20 ÷ 4.91","2038-08-01","14.24","410","2034-10-01","27.12","448","13"
"2138205","2000 EZ148","","S","0","3,58 ÷ 8.00","2032-10-03","12.79","410","2049-10-02","21.45","338","8"
"2138258","2000 GD2","","Sq","0","0,52 ÷ 1.16","2030-09-12","16.47","200","2032-03-15","24.23","368","8"
"2138325","2000 GO82","","S","0","1,55 ÷ 3.48","2041-10-04","17.19","440","2035-03-10","31.71","378","33"
"2138524","2000 OJ8","","Sr","0","1,57 ÷ 3.51","2028-12-27","8.66","340","2040-02-12","18.40","443","8"
"2138893","2000 YH66","","Xk","0","0,84 ÷ 1.87","2026-05-12","14.24","430","2042-12-18","21.27","378","48"
"2138911","2001 AE2","","T","0","0,48 ÷ 1.08","2047-08-26","4.17","260","2044-12-27","9.64","428","8"
"2139056","2001 FY","","S","0","0,32","2046-06-28","7.92","440","2045-01-26","16.81","413","8"
"2139622","2001 QQ142","","Sq","0","0,72 ÷ 1.61","2040-12-04","6.71","370","2045-01-06","10.55","353","8"
"2141052","2001 XR1","","Sq","0","1,15 ÷ 2.58","2045-04-22","14.46","440","2041-01-07","19.78","368","8"
"2141079","2001 XS30","","Xc","0","1,00 ÷ 2.23","2038-05-29","14.87","370","2032-08-12","24.37","448","13"
"2152560","1991 BN","","Q","0","0,52 ÷ 1.16","2028-09-22","7.43","200","2027-09-28","11.39","428","8"
"2152563","1992 BF","","Xc","0","0,272","2048-06-25","6.21","260","2029-07-19","9.77","388","28"
"2152679","1998 KU2","","Cb","0","4,167","2034-10-09","9.52","390","2042-05-02","17.27","353","8"
